[
50	 , 52924	 , 0	 , 25	 , 1.9294, 
50	 , 51894	 , 14	 , 25	 , 1.99919, 
50	 , 52498	 , 3	 , 25	 , 1.94723, 
50	 , 51580	 , 6	 , 25	 , 1.98782, 
50	 , 52920	 , 12	 , 25	 , 1.96469, 
50	 , 52600	 , 15	 , 27	 , 1.97937, 
50	 , 53370	 , 18	 , 23	 , 1.93713, 
50	 , 52360	 , 23	 , 26	 , 1.96065, 
50	 , 53058	 , 19	 , 25	 , 1.85541, 
50	 , 53306	 , 5	 , 28	 , 1.94926, 
50	 , 51780	 , 2	 , 26	 , 1.99214, 
50	 , 52494	 , 0	 , 26	 , 1.92967, 
50	 , 51230	 , 3	 , 26	 , 1.99878, 
50	 , 52812	 , 0	 , 26	 , 1.99042, 
50	 , 52512	 , 8	 , 27	 , 1.96835, 
50	 , 53270	 , 11	 , 27	 , 1.98437, 
50	 , 52222	 , 21	 , 25	 , 1.98434, 
50	 , 51926	 , 1	 , 27	 , 1.99951, 
50	 , 51826	 , 4	 , 26	 , 1.99948, 
50	 , 51654	 , 18	 , 26	 , 1.9529, 
50	 , 51760	 , 18	 , 27	 , 1.9736, 
50	 , 51774	 , 17	 , 25	 , 1.98723, 
50	 , 51880	 , 18	 , 25	 , 1.99988, 
50	 , 51828	 , 20	 , 26	 , 1.99162, 
50	 , 52380	 , 12	 , 27	 , 1.98239, 
50	 , 52084	 , 22	 , 27	 , 1.96469, 
50	 , 53106	 , 12	 , 27	 , 1.9043, 
50	 , 51756	 , 0	 , 26	 , 1.99937, 
50	 , 51668	 , 20	 , 25	 , 1.99805, 
50	 , 53444	 , 21	 , 27	 , 1.98434, 
50	 , 52508	 , 21	 , 25	 , 1.99902, 
50	 , 52380	 , 17	 , 27	 , 1.99707, 
50	 , 51304	 , 19	 , 27	 , 1.9873, 
50	 , 52848	 , 10	 , 26	 , 1.88049, 
50	 , 51560	 , 6	 , 25	 , 1.99168, 
50	 , 51554	 , 6	 , 27	 , 1.98062, 
50	 , 24738	 , 0	 , 14	 , 2.0, 
50	 , 52132	 , 12	 , 27	 , 1.9585, 
50	 , 51720	 , 13	 , 27	 , 1.99023, 
50	 , 52236	 , 13	 , 27	 , 1.95306, 
50	 , 53162	 , 5	 , 27	 , 1.99951, 
50	 , 53388	 , 14	 , 26	 , 1.98306, 
50	 , 52982	 , 21	 , 27	 , 1.9834, 
50	 , 52104	 , 4	 , 27	 , 1.99982, 
50	 , 51612	 , 21	 , 26	 , 1.95305, 
50	 , 51440	 , 22	 , 27	 , 1.95007, 
50	 , 52362	 , 0	 , 27	 , 1.99092, 
50	 , 51738	 , 18	 , 26	 , 1.99532, 
50	 , 52258	 , 7	 , 26	 , 1.99702, 
50	 , 51388	 , 13	 , 27	 , 1.99803, 
50	 , 51776	 , 15	 , 27	 , 1.99753, 
50	 , 51368	 , 3	 , 25	 , 1.99979, 
50	 , 52886	 , 19	 , 28	 , 1.99089, 
50	 , 52654	 , 19	 , 26	 , 1.99779, 
50	 , 51556	 , 6	 , 26	 , 1.95654, 
50	 , 51336	 , 19	 , 26	 , 1.85351, 
50	 , 53128	 , 0	 , 27	 , 1.93628, 
50	 , 52294	 , 23	 , 27	 , 1.97421, 
50	 , 53112	 , 16	 , 26	 , 1.96088, 
50	 , 51962	 , 8	 , 25	 , 1.87347, 
50	 , 51546	 , 0	 , 26	 , 1.98857, 
50	 , 52018	 , 18	 , 27	 , 1.96973, 
50	 , 52950	 , 6	 , 25	 , 1.99951, 
50	 , 51672	 , 2	 , 28	 , 1.99957, 
50	 , 51586	 , 1	 , 25	 , 1.97604, 
50	 , 53050	 , 20	 , 26	 , 1.94324, 
50	 , 50750	 , 0	 , 26	 , 2.0, 
50	 , 53022	 , 17	 , 25	 , 1.95111, 
50	 , 51468	 , 18	 , 26	 , 1.97882, 
50	 , 51730	 , 14	 , 27	 , 1.87353, 
50	 , 53134	 , 9	 , 28	 , 1.99567, 
50	 , 52866	 , 7	 , 28	 , 1.99902, 
50	 , 51714	 , 18	 , 24	 , 1.98389, 
50	 , 52478	 , 17	 , 27	 , 1.96875, 
50	 , 52626	 , 13	 , 26	 , 1.97461, 
50	 , 52308	 , 4	 , 25	 , 1.99736, 
50	 , 51720	 , 1	 , 26	 , 1.95663, 
50	 , 53542	 , 13	 , 27	 , 1.96844, 
50	 , 53488	 , 19	 , 27	 , 1.99986, 
50	 , 53442	 , 4	 , 28	 , 1.96802, 
50	 , 52396	 , 13	 , 27	 , 1.93719, 
50	 , 51716	 , 19	 , 25	 , 1.89563, 
50	 , 51552	 , 3	 , 25	 , 1.97116, 
50	 , 52206	 , 8	 , 27	 , 1.94395, 
50	 , 51626	 , 10	 , 26	 , 1.93698, 
50	 , 52754	 , 4	 , 27	 , 1.91499, 
50	 , 51260	 , 7	 , 26	 , 1.99957, 
50	 , 51510	 , 18	 , 26	 , 1.98376, 
50	 , 53012	 , 7	 , 26	 , 1.99641, 
50	 , 52780	 , 2	 , 27	 , 1.9951, 
50	 , 52560	 , 19	 , 24	 , 1.9942, 
50	 , 51610	 , 12	 , 27	 , 1.97552, 
50	 , 52574	 , 17	 , 24	 , 1.99208, 
50	 , 52798	 , 1	 , 27	 , 1.9801, 
50	 , 52430	 , 12	 , 26	 , 1.87285, 
50	 , 52062	 , 9	 , 25	 , 1.99559, 
50	 , 52036	 , 18	 , 26	 , 1.99008, 
50	 , 51648	 , 20	 , 26	 , 1.99849, 
50	 , 51860	 , 22	 , 26	 , 1.98434, 
50	 , 53444	 , 15	 , 24	 , 1.96666, 
50	 , 51926	 , 13	 , 25	 , 1.92204, 
50	 , 53404	 , 21	 , 26	 , 1.99976, 
50	 , 51728	 , 0	 , 26	 , 1.99588, 
50	 , 53096	 , 0	 , 27	 , 1.9834, 
50	 , 51546	 , 12	 , 25	 , 1.98346, 
50	 , 52784	 , 15	 , 25	 , 1.99956, 
50	 , 52862	 , 10	 , 28	 , 1.98242, 
50	 , 53314	 , 4	 , 27	 , 1.90521, 
50	 , 53176	 , 16	 , 25	 , 1.99825, 
50	 , 52118	 , 12	 , 27	 , 1.90425, 
50	 , 52708	 , 9	 , 27	 , 1.99951, 
50	 , 52414	 , 21	 , 26	 , 1.99217, 
50	 , 52608	 , 20	 , 27	 , 1.99219, 
50	 , 52492	 , 13	 , 27	 , 1.99976, 
50	 , 51526	 , 21	 , 26	 , 1.95204, 
50	 , 51380	 , 10	 , 25	 , 1.99219, 
50	 , 53170	 , 5	 , 27	 , 1.9917, 
50	 , 51344	 , 7	 , 27	 , 1.73754, 
50	 , 51246	 , 10	 , 26	 , 1.9687, 
50	 , 53146	 , 21	 , 25	 , 1.93236, 
50	 , 51336	 , 17	 , 24	 , 1.96437, 
