[
50	 , 53374	 , 6	 , 25	 , 1.99673, 
50	 , 53124	 , 14	 , 27	 , 1.99841, 
50	 , 51388	 , 14	 , 24	 , 1.99266, 
50	 , 51496	 , 8	 , 26	 , 1.99944, 
50	 , 52004	 , 16	 , 24	 , 1.99826, 
50	 , 52372	 , 0	 , 25	 , 1.99707, 
50	 , 52816	 , 4	 , 26	 , 1.94481, 
50	 , 53302	 , 11	 , 27	 , 1.99997, 
50	 , 53218	 , 6	 , 25	 , 1.96875, 
50	 , 51606	 , 3	 , 24	 , 1.99774, 
50	 , 51898	 , 14	 , 25	 , 1.98582, 
50	 , 51552	 , 1	 , 27	 , 1.99606, 
50	 , 53008	 , 9	 , 26	 , 1.99995, 
50	 , 53184	 , 4	 , 26	 , 1.98437, 
50	 , 52792	 , 1	 , 26	 , 1.99948, 
50	 , 53426	 , 7	 , 25	 , 1.98791, 
50	 , 10834	 , 0	 , 7	 , 2.0, 
50	 , 53096	 , 16	 , 26	 , 1.99998, 
50	 , 52498	 , 0	 , 25	 , 1.99156, 
50	 , 52588	 , 4	 , 26	 , 1.99998, 
50	 , 51576	 , 14	 , 25	 , 1.99992, 
50	 , 52936	 , 4	 , 26	 , 1.99892, 
50	 , 52490	 , 0	 , 25	 , 1.99966, 
50	 , 52328	 , 7	 , 24	 , 1.99316, 
50	 , 40840	 , 0	 , 20	 , 2.0, 
50	 , 52730	 , 8	 , 27	 , 1.98235, 
50	 , 53228	 , 5	 , 25	 , 1.99899, 
50	 , 48790	 , 0	 , 25	 , 2.0, 
50	 , 52062	 , 18	 , 25	 , 1.99998, 
50	 , 52384	 , 13	 , 25	 , 1.99963, 
50	 , 51722	 , 6	 , 26	 , 1.99821, 
50	 , 52418	 , 5	 , 26	 , 1.98437, 
50	 , 53072	 , 0	 , 25	 , 1.99901, 
50	 , 52442	 , 14	 , 26	 , 1.99805, 
50	 , 51796	 , 4	 , 26	 , 1.99414, 
50	 , 53412	 , 4	 , 26	 , 1.97751, 
50	 , 52404	 , 11	 , 26	 , 1.99606, 
50	 , 51448	 , 2	 , 25	 , 1.99796, 
50	 , 51244	 , 9	 , 25	 , 1.99911, 
50	 , 51304	 , 12	 , 24	 , 1.99992, 
50	 , 53094	 , 2	 , 26	 , 1.97748, 
50	 , 53186	 , 0	 , 26	 , 1.98437, 
50	 , 52576	 , 5	 , 27	 , 1.98279, 
50	 , 51410	 , 14	 , 25	 , 1.99591, 
50	 , 52988	 , 7	 , 27	 , 1.97266, 
50	 , 52062	 , 4	 , 26	 , 1.99992, 
50	 , 52050	 , 4	 , 26	 , 1.99985, 
50	 , 52632	 , 14	 , 25	 , 1.99216, 
50	 , 53124	 , 4	 , 27	 , 1.9985, 
50	 , 51824	 , 4	 , 25	 , 1.98422, 
50	 , 52762	 , 7	 , 27	 , 1.99994, 
50	 , 51906	 , 3	 , 25	 , 1.96872, 
50	 , 51268	 , 0	 , 24	 , 1.99608, 
50	 , 51874	 , 2	 , 26	 , 1.99213, 
50	 , 52008	 , 3	 , 26	 , 1.99915, 
50	 , 51898	 , 2	 , 25	 , 1.9998, 
50	 , 53434	 , 3	 , 25	 , 1.99219, 
50	 , 51518	 , 0	 , 25	 , 1.98625, 
50	 , 51936	 , 3	 , 25	 , 1.99854, 
50	 , 53028	 , 16	 , 26	 , 1.9917, 
50	 , 52246	 , 0	 , 25	 , 1.99994, 
50	 , 51410	 , 14	 , 23	 , 1.99994, 
50	 , 51876	 , 11	 , 25	 , 1.99945, 
50	 , 51284	 , 0	 , 25	 , 1.99924, 
50	 , 53120	 , 2	 , 27	 , 1.98509, 
50	 , 53286	 , 5	 , 25	 , 1.99994, 
50	 , 51814	 , 19	 , 25	 , 1.96849, 
50	 , 52308	 , 18	 , 25	 , 1.99966, 
50	 , 52574	 , 0	 , 25	 , 1.98262, 
50	 , 52506	 , 11	 , 26	 , 1.99802, 
50	 , 52452	 , 2	 , 26	 , 1.99986, 
50	 , 51554	 , 0	 , 25	 , 1.99994, 
50	 , 52978	 , 15	 , 24	 , 1.99707, 
50	 , 51682	 , 10	 , 25	 , 1.9834, 
50	 , 51284	 , 19	 , 25	 , 1.99023, 
50	 , 52920	 , 8	 , 27	 , 1.99915, 
50	 , 52368	 , 0	 , 26	 , 1.99947, 
50	 , 53628	 , 3	 , 27	 , 1.99902, 
50	 , 12252	 , 0	 , 8	 , 2.0, 
50	 , 51762	 , 3	 , 24	 , 1.99207, 
50	 , 53306	 , 24	 , 27	 , 1.92749, 
50	 , 51994	 , 13	 , 26	 , 1.99797, 
50	 , 40878	 , 0	 , 20	 , 2.0, 
50	 , 51344	 , 2	 , 25	 , 1.99966, 
50	 , 52652	 , 1	 , 27	 , 1.9799, 
50	 , 52624	 , 16	 , 25	 , 1.98437, 
50	 , 51384	 , 15	 , 26	 , 1.9834, 
50	 , 51486	 , 5	 , 25	 , 1.99902, 
50	 , 27678	 , 0	 , 15	 , 2.0, 
50	 , 52024	 , 0	 , 25	 , 1.99997, 
50	 , 52722	 , 13	 , 25	 , 1.99785, 
50	 , 53414	 , 8	 , 26	 , 1.99976, 
50	 , 52250	 , 7	 , 25	 , 1.99898, 
50	 , 52690	 , 0	 , 26	 , 1.97412, 
50	 , 31856	 , 0	 , 17	 , 2.0, 
50	 , 53234	 , 18	 , 26	 , 1.98419, 
50	 , 51466	 , 13	 , 25	 , 1.99876, 
50	 , 53236	 , 3	 , 25	 , 1.98534, 
50	 , 52732	 , 17	 , 25	 , 1.98817, 
50	 , 51940	 , 9	 , 24	 , 1.98044, 
50	 , 51220	 , 15	 , 25	 , 1.99608, 
50	 , 53058	 , 18	 , 25	 , 1.99219, 
50	 , 52082	 , 13	 , 25	 , 1.98437, 
50	 , 51450	 , 4	 , 25	 , 1.9989, 
50	 , 51454	 , 8	 , 25	 , 1.99997, 
50	 , 52402	 , 12	 , 26	 , 1.99797, 
50	 , 52188	 , 2	 , 25	 , 1.99994, 
50	 , 51366	 , 5	 , 27	 , 1.99994, 
50	 , 51782	 , 9	 , 26	 , 1.95018, 
50	 , 51820	 , 15	 , 25	 , 1.98021, 
50	 , 52626	 , 11	 , 27	 , 1.99609, 
50	 , 52826	 , 2	 , 26	 , 1.99512, 
50	 , 52364	 , 12	 , 25	 , 1.96442, 
50	 , 51904	 , 0	 , 25	 , 2.0, 
50	 , 51468	 , 0	 , 26	 , 1.99681, 
50	 , 51530	 , 38	 , 49	 , 1.99994, 
50	 , 53700	 , 4	 , 27	 , 1.9978, 
50	 , 51838	 , 15	 , 24	 , 1.99219, 
50	 , 52840	 , 8	 , 25	 , 1.97066, 
50	 , 53070	 , 10	 , 26	 , 1.99899, 
50	 , 52740	 , 0	 , 26	 , 1.99951, 
50	 , 51618	 , 14	 , 25	 , 1.96973, 
50	 , 52634	 , 11	 , 25	 , 1.99402, 
50	 , 52994	 , 3	 , 27	 , 1.99994, 
50	 , 51266	 , 14	 , 25	 , 1.99951, 
50	 , 25082	 , 0	 , 14	 , 2.0, 
50	 , 51848	 , 18	 , 25	 , 1.99991, 
50	 , 52450	 , 13	 , 27	 , 1.99963, 
50	 , 51332	 , 7	 , 26	 , 1.99994, 
50	 , 52594	 , 3	 , 26	 , 1.99985, 
50	 , 51998	 , 10	 , 24	 , 1.99561, 
50	 , 51564	 , 1	 , 25	 , 1.97461, 
50	 , 51384	 , 6	 , 25	 , 1.98827, 
50	 , 51586	 , 7	 , 25	 , 1.99976, 
50	 , 52130	 , 3	 , 26	 , 1.96475, 
50	 , 52760	 , 7	 , 25	 , 1.96849, 
100	 , 55820	 , 6	 , 14	 , 1.99997, 
100	 , 55508	 , 8	 , 14	 , 1.99608, 
100	 , 54382	 , 0	 , 14	 , 1.99854, 
100	 , 51268	 , 4	 , 14	 , 1.99573, 
100	 , 51838	 , 4	 , 14	 , 1.99902, 
100	 , 54764	 , 6	 , 14	 , 1.99969, 
100	 , 51438	 , 2	 , 14	 , 1.99507, 
100	 , 26054	 , 0	 , 8	 , 2.0, 
100	 , 54900	 , 7	 , 14	 , 1.9995, 
100	 , 54452	 , 5	 , 14	 , 1.99846, 
100	 , 53030	 , 0	 , 15	 , 2.0, 
100	 , 53762	 , 6	 , 13	 , 1.99992, 
100	 , 55458	 , 3	 , 15	 , 1.99802, 
100	 , 55470	 , 5	 , 15	 , 1.99515, 
100	 , 52910	 , 6	 , 13	 , 1.99973, 
100	 , 55576	 , 6	 , 14	 , 1.99582, 
100	 , 51378	 , 5	 , 14	 , 1.99605, 
100	 , 51504	 , 1	 , 14	 , 1.99998, 
100	 , 52554	 , 9	 , 13	 , 1.99744, 
100	 , 53482	 , 4	 , 14	 , 1.99997, 
100	 , 51382	 , 8	 , 13	 , 1.98138, 
100	 , 52082	 , 4	 , 14	 , 1.98621, 
100	 , 51760	 , 8	 , 14	 , 1.99808, 
