[
50	 , 52980	 , 0	 , 27	 , -0.00172, 
50	 , 51618	 , 10	 , 24	 , -0.00291, 
50	 , 51266	 , 13	 , 26	 , -0.0472, 
50	 , 52792	 , 6	 , 28	 , -0.0042, 
50	 , 52670	 , 4	 , 28	 , 0.0, 
50	 , 52368	 , 6	 , 28	 , -0.14652, 
50	 , 52190	 , 9	 , 27	 , -0.00246, 
50	 , 52426	 , 2	 , 25	 , 0.0, 
50	 , 53000	 , 6	 , 27	 , -0.16063, 
50	 , 53138	 , 14	 , 27	 , -0.01782, 
50	 , 51268	 , 19	 , 26	 , -0.01817, 
50	 , 51604	 , 0	 , 26	 , -0.00428, 
50	 , 53484	 , 16	 , 27	 , -0.00194, 
50	 , 51694	 , 2	 , 26	 , 0.0, 
50	 , 53446	 , 0	 , 27	 , 0.0, 
50	 , 52358	 , 20	 , 27	 , -0.06025, 
50	 , 52682	 , 16	 , 26	 , -0.00551, 
50	 , 52358	 , 18	 , 28	 , -0.00722, 
50	 , 53394	 , 15	 , 26	 , -0.00163, 
50	 , 51206	 , 18	 , 26	 , -0.03379, 
50	 , 53582	 , 10	 , 27	 , 0.0, 
50	 , 51618	 , 7	 , 27	 , -1.0E-5, 
50	 , 52358	 , 2	 , 25	 , -8.0E-4, 
50	 , 52062	 , 15	 , 25	 , -0.00163, 
50	 , 51224	 , 18	 , 23	 , 0.0, 
50	 , 51824	 , 5	 , 27	 , -3.0E-5, 
50	 , 52818	 , 12	 , 27	 , -0.00161, 
50	 , 52032	 , 11	 , 27	 , -0.01535, 
50	 , 52826	 , 1	 , 28	 , -0.00636, 
50	 , 53314	 , 7	 , 27	 , -2.0E-5, 
50	 , 52478	 , 18	 , 25	 , -4.7E-4, 
50	 , 52876	 , 4	 , 27	 , 0.0, 
50	 , 52376	 , 14	 , 28	 , -0.00501, 
50	 , 52380	 , 3	 , 26	 , 0.0, 
50	 , 51784	 , 14	 , 27	 , -0.03851, 
50	 , 51846	 , 11	 , 27	 , -1.0E-5, 
50	 , 53300	 , 17	 , 25	 , -0.00238, 
50	 , 52144	 , 0	 , 27	 , -0.00404, 
50	 , 52488	 , 9	 , 27	 , -0.00322, 
50	 , 51952	 , 14	 , 27	 , -0.00141, 
50	 , 52284	 , 5	 , 26	 , 0.0, 
50	 , 52520	 , 19	 , 26	 , -0.00344, 
50	 , 52860	 , 13	 , 26	 , -0.01512, 
50	 , 52406	 , 10	 , 27	 , -0.00439, 
50	 , 52194	 , 14	 , 27	 , -0.00486, 
50	 , 52600	 , 1	 , 27	 , 0.0, 
50	 , 52742	 , 8	 , 28	 , -0.00196, 
50	 , 51842	 , 15	 , 25	 , -5.0E-5, 
50	 , 51334	 , 12	 , 26	 , -0.00132, 
50	 , 52098	 , 0	 , 27	 , -0.00178, 
50	 , 51890	 , 12	 , 26	 , -0.01989, 
50	 , 51422	 , 2	 , 25	 , 0.0, 
50	 , 51982	 , 12	 , 26	 , -2.9E-4, 
50	 , 51842	 , 10	 , 27	 , -0.00286, 
50	 , 52064	 , 21	 , 27	 , -0.01737, 
50	 , 53552	 , 8	 , 26	 , 0.0, 
50	 , 51440	 , 1	 , 25	 , 0.0, 
50	 , 52108	 , 3	 , 28	 , -8.0E-5, 
50	 , 51264	 , 3	 , 26	 , -0.00652, 
50	 , 52766	 , 15	 , 27	 , -0.00322, 
50	 , 52894	 , 16	 , 25	 , 0.0, 
50	 , 52558	 , 15	 , 27	 , -0.00199, 
50	 , 51372	 , 11	 , 26	 , -0.19632, 
50	 , 52200	 , 2	 , 26	 , -0.01702, 
50	 , 52632	 , 7	 , 27	 , 0.0, 
50	 , 52958	 , 8	 , 26	 , -0.00108, 
50	 , 51524	 , 0	 , 25	 , -1.0E-5, 
50	 , 51758	 , 10	 , 27	 , -0.00167, 
50	 , 52952	 , 13	 , 27	 , -1.0E-5, 
50	 , 53208	 , 21	 , 26	 , -0.00113, 
50	 , 53056	 , 5	 , 27	 , -0.00183, 
50	 , 52664	 , 7	 , 27	 , 0.0, 
50	 , 52456	 , 1	 , 28	 , 0.0, 
50	 , 52734	 , 17	 , 27	 , -0.00339, 
50	 , 51394	 , 4	 , 27	 , -5.0E-4, 
50	 , 53052	 , 21	 , 28	 , -0.01677, 
50	 , 53142	 , 2	 , 27	 , -3.3E-4, 
50	 , 52338	 , 17	 , 27	 , -2.0E-5, 
50	 , 52882	 , 3	 , 27	 , -3.0E-4, 
50	 , 51952	 , 6	 , 27	 , -1.6E-4, 
50	 , 51924	 , 14	 , 26	 , -0.00845, 
50	 , 51566	 , 2	 , 27	 , -0.17516, 
50	 , 51926	 , 5	 , 26	 , -0.00177, 
50	 , 51812	 , 16	 , 26	 , -9.4E-4, 
50	 , 51220	 , 17	 , 26	 , -0.03039, 
50	 , 51782	 , 7	 , 27	 , 0.0, 
50	 , 52590	 , 1	 , 27	 , -0.00359, 
50	 , 52258	 , 16	 , 26	 , -0.006, 
50	 , 51606	 , 14	 , 26	 , -0.19589, 
50	 , 51768	 , 22	 , 26	 , -0.0036, 
50	 , 51602	 , 14	 , 27	 , -0.15978, 
50	 , 52228	 , 14	 , 26	 , -0.00173, 
50	 , 52040	 , 17	 , 27	 , -1.7E-4, 
50	 , 51806	 , 3	 , 26	 , 0.0, 
50	 , 52032	 , 1	 , 27	 , 0.0, 
50	 , 53114	 , 4	 , 27	 , 0.0, 
50	 , 53284	 , 12	 , 27	 , -0.12301, 
50	 , 51466	 , 15	 , 26	 , -0.16769, 
50	 , 51562	 , 17	 , 26	 , 0.0, 
50	 , 51230	 , 0	 , 27	 , -0.00214, 
50	 , 51346	 , 3	 , 27	 , 0.0, 
50	 , 52540	 , 14	 , 27	 , -0.00306, 
