[
50	 , 52324	 , 15	 , 25	 , -0.07516, 
50	 , 53074	 , 18	 , 25	 , -4.0E-5, 
50	 , 52362	 , 14	 , 25	 , -0.02434, 
50	 , 52250	 , 0	 , 26	 , -3.4E-4, 
50	 , 51948	 , 16	 , 25	 , -0.01925, 
50	 , 51688	 , 16	 , 26	 , -0.13044, 
50	 , 52472	 , 7	 , 25	 , -6.0E-5, 
50	 , 52990	 , 15	 , 26	 , -0.00183, 
50	 , 53778	 , 15	 , 25	 , -0.00343, 
50	 , 52036	 , 11	 , 26	 , -0.00984, 
50	 , 52866	 , 11	 , 26	 , -0.05005, 
50	 , 51922	 , 12	 , 24	 , -0.02783, 
50	 , 51300	 , 15	 , 25	 , -0.00816, 
50	 , 52322	 , 15	 , 24	 , -0.27309, 
50	 , 52294	 , 14	 , 25	 , 0.0, 
50	 , 53330	 , 14	 , 26	 , 0.0, 
50	 , 52208	 , 13	 , 24	 , -0.00745, 
50	 , 52334	 , 9	 , 25	 , -2.3E-4, 
50	 , 51794	 , 1	 , 26	 , -0.07624, 
50	 , 53136	 , 4	 , 27	 , -0.13487, 
50	 , 51510	 , 17	 , 25	 , -0.0033, 
50	 , 52470	 , 0	 , 25	 , -0.02864, 
50	 , 51356	 , 14	 , 26	 , -0.00264, 
50	 , 51430	 , 5	 , 26	 , -0.02968, 
50	 , 51848	 , 18	 , 25	 , -0.00248, 
50	 , 52034	 , 16	 , 24	 , -0.00685, 
50	 , 51248	 , 17	 , 24	 , -0.0112, 
50	 , 53700	 , 18	 , 26	 , -0.05099, 
50	 , 53978	 , 13	 , 25	 , -0.00254, 
50	 , 51448	 , 15	 , 25	 , -0.0557, 
50	 , 53832	 , 16	 , 25	 , -0.00516, 
50	 , 52870	 , 11	 , 27	 , -0.00772, 
50	 , 51600	 , 4	 , 26	 , -0.00713, 
50	 , 51910	 , 14	 , 26	 , -8.7E-4, 
50	 , 51840	 , 14	 , 25	 , -0.00325, 
50	 , 52038	 , 19	 , 25	 , -0.00645, 
50	 , 53500	 , 19	 , 26	 , -4.3E-4, 
50	 , 53026	 , 16	 , 26	 , -0.00339, 
50	 , 52254	 , 12	 , 26	 , -0.00262, 
50	 , 51380	 , 17	 , 24	 , -0.00819, 
50	 , 52082	 , 14	 , 27	 , -0.04996, 
50	 , 51386	 , 9	 , 26	 , -2.5E-4, 
50	 , 51476	 , 18	 , 24	 , -8.3E-4, 
50	 , 51354	 , 8	 , 25	 , -0.00887, 
50	 , 53164	 , 18	 , 26	 , -2.0E-4, 
50	 , 52098	 , 15	 , 26	 , -0.05413, 
50	 , 52258	 , 6	 , 26	 , -4.0E-4, 
50	 , 52510	 , 14	 , 27	 , -0.03058, 
50	 , 51704	 , 12	 , 26	 , -0.15437, 
50	 , 51806	 , 10	 , 26	 , -0.028, 
50	 , 51242	 , 13	 , 24	 , -8.0E-4, 
50	 , 52514	 , 14	 , 25	 , -0.0401, 
50	 , 52928	 , 12	 , 26	 , -0.00631, 
50	 , 52440	 , 17	 , 25	 , -0.00397, 
50	 , 51558	 , 13	 , 27	 , -0.1163, 
50	 , 51966	 , 16	 , 24	 , -0.03417, 
50	 , 51496	 , 18	 , 25	 , -0.01135, 
50	 , 51670	 , 10	 , 27	 , -0.01661, 
50	 , 51288	 , 10	 , 25	 , -8.0E-5, 
50	 , 51594	 , 17	 , 25	 , -0.00109, 
50	 , 52578	 , 12	 , 27	 , -0.00625, 
50	 , 52390	 , 16	 , 25	 , -2.4E-4, 
50	 , 53118	 , 14	 , 24	 , -0.00149, 
50	 , 51976	 , 13	 , 26	 , -8.0E-5, 
50	 , 52690	 , 14	 , 27	 , -0.00869, 
50	 , 52888	 , 7	 , 27	 , -0.00943, 
50	 , 51308	 , 16	 , 23	 , -8.6E-4, 
50	 , 51292	 , 10	 , 25	 , -0.07736, 
50	 , 53046	 , 18	 , 26	 , -0.0521, 
50	 , 53140	 , 11	 , 26	 , -0.04912, 
50	 , 52538	 , 11	 , 25	 , -0.01852, 
50	 , 53432	 , 13	 , 26	 , -4.0E-5, 
50	 , 52238	 , 14	 , 26	 , -0.01634, 
50	 , 53314	 , 12	 , 25	 , -0.00891, 
50	 , 52740	 , 6	 , 26	 , -3.4E-4, 
50	 , 53002	 , 13	 , 26	 , -0.00544, 
50	 , 52458	 , 12	 , 26	 , -6.4E-4, 
50	 , 51964	 , 12	 , 24	 , -0.00614, 
50	 , 53034	 , 8	 , 27	 , -0.01382, 
50	 , 53168	 , 17	 , 26	 , -0.01144, 
50	 , 52118	 , 13	 , 26	 , -0.0081, 
50	 , 53346	 , 13	 , 26	 , -0.03336, 
50	 , 51968	 , 15	 , 25	 , -0.0015, 
50	 , 51218	 , 5	 , 24	 , -0.02049, 
50	 , 53300	 , 16	 , 26	 , 0.0, 
50	 , 52194	 , 16	 , 25	 , -0.01085, 
50	 , 52866	 , 13	 , 27	 , -0.00625, 
50	 , 51852	 , 16	 , 24	 , -0.0012, 
50	 , 52246	 , 6	 , 26	 , -0.02832, 
50	 , 53728	 , 15	 , 25	 , -4.0E-5, 
50	 , 52432	 , 16	 , 26	 , -0.00404, 
50	 , 51702	 , 16	 , 25	 , -0.03317, 
50	 , 51352	 , 12	 , 25	 , -0.00363, 
50	 , 53252	 , 15	 , 26	 , -0.00121, 
50	 , 52032	 , 16	 , 26	 , -0.03973, 
50	 , 51690	 , 19	 , 25	 , -0.00485, 
50	 , 53364	 , 21	 , 26	 , -0.01773, 
50	 , 51940	 , 6	 , 27	 , -0.00316, 
50	 , 51248	 , 10	 , 26	 , -0.05374, 
50	 , 52078	 , 17	 , 25	 , -0.00297, 
50	 , 53214	 , 0	 , 27	 , -0.00166, 
50	 , 51814	 , 9	 , 25	 , -0.00314, 
50	 , 52386	 , 14	 , 25	 , -0.14689, 
50	 , 51288	 , 20	 , 25	 , -0.08342, 
50	 , 52192	 , 15	 , 25	 , -0.01054, 
50	 , 53304	 , 11	 , 26	 , -0.00925, 
50	 , 51628	 , 14	 , 25	 , -0.14321, 
50	 , 53116	 , 6	 , 25	 , -0.00145, 
50	 , 51772	 , 8	 , 26	 , -0.0198, 
50	 , 51604	 , 11	 , 26	 , -0.07924, 
50	 , 52200	 , 12	 , 26	 , -0.0042, 
50	 , 51322	 , 12	 , 24	 , -0.00951, 
50	 , 52664	 , 19	 , 26	 , -0.00424, 
50	 , 52720	 , 12	 , 27	 , -0.00704, 
50	 , 52808	 , 17	 , 26	 , -0.00966, 
50	 , 53460	 , 12	 , 27	 , -0.00629, 
50	 , 53848	 , 13	 , 24	 , 0.0, 
50	 , 53858	 , 8	 , 26	 , -7.6E-4, 
50	 , 52704	 , 17	 , 26	 , -0.04057, 
50	 , 51368	 , 3	 , 26	 , -0.01635, 
50	 , 52030	 , 19	 , 25	 , -0.0233, 
50	 , 52138	 , 6	 , 26	 , -0.00659, 
50	 , 52514	 , 7	 , 27	 , -0.00301, 
50	 , 53256	 , 12	 , 27	 , -0.00433, 
50	 , 53434	 , 12	 , 27	 , -0.01005, 
50	 , 51398	 , 0	 , 24	 , -0.00386, 
50	 , 53292	 , 18	 , 25	 , -0.00196, 
50	 , 51926	 , 16	 , 24	 , -0.02444, 
50	 , 53846	 , 7	 , 26	 , -0.00827, 
50	 , 53184	 , 18	 , 25	 , -0.00264, 
50	 , 52112	 , 17	 , 25	 , -0.00629, 
50	 , 52870	 , 14	 , 26	 , -1.1E-4, 
50	 , 53414	 , 18	 , 26	 , -2.2E-4, 
50	 , 51638	 , 18	 , 24	 , -0.01856, 
50	 , 51372	 , 21	 , 25	 , -0.02631, 
50	 , 52738	 , 13	 , 25	 , -3.0E-5, 
50	 , 51588	 , 13	 , 23	 , -0.07989, 
50	 , 53128	 , 13	 , 25	 , -0.04949, 
100	 , 52172	 , 3	 , 14	 , -0.00885, 
100	 , 52424	 , 4	 , 14	 , -0.01424, 
100	 , 52420	 , 2	 , 14	 , -1.2E-4, 
100	 , 54356	 , 0	 , 15	 , -1.9E-4, 
100	 , 55328	 , 7	 , 14	 , -0.00306, 
100	 , 53190	 , 7	 , 14	 , -0.00379, 
100	 , 55128	 , 6	 , 15	 , -7.9E-4, 
100	 , 52712	 , 5	 , 14	 , -0.00294, 
100	 , 53068	 , 6	 , 14	 , -0.0029, 
100	 , 51960	 , 1	 , 14	 , -0.0029, 
100	 , 53106	 , 7	 , 14	 , -0.00211, 
100	 , 54884	 , 0	 , 15	 , -0.00181, 
100	 , 54144	 , 3	 , 15	 , -0.01459, 
100	 , 54978	 , 3	 , 15	 , -0.00171, 
100	 , 54244	 , 0	 , 15	 , -0.01189, 
100	 , 51924	 , 6	 , 14	 , -0.00244, 
100	 , 55940	 , 7	 , 14	 , -0.03004, 
100	 , 54370	 , 5	 , 15	 , 0.0, 
100	 , 53100	 , 4	 , 14	 , -4.0E-5, 
100	 , 54500	 , 8	 , 14	 , -0.00181, 
100	 , 52592	 , 7	 , 14	 , -4.5E-4, 
100	 , 52184	 , 4	 , 14	 , -3.3E-4, 
100	 , 56006	 , 9	 , 14	 , -0.0037, 
100	 , 55462	 , 8	 , 14	 , -0.04682, 
100	 , 54408	 , 0	 , 15	 , -0.00132, 
100	 , 53376	 , 0	 , 14	 , -0.01989, 
100	 , 54760	 , 4	 , 15	 , -0.02427, 
100	 , 52236	 , 8	 , 14	 , -0.00367, 
100	 , 52512	 , 6	 , 14	 , -0.18185, 
100	 , 53720	 , 6	 , 14	 , -0.0075, 
100	 , 55330	 , 5	 , 15	 , -1.0E-4, 
100	 , 54860	 , 5	 , 15	 , -0.01875, 
100	 , 51318	 , 3	 , 14	 , -0.00406, 
100	 , 52894	 , 8	 , 13	 , -0.0011, 
100	 , 51996	 , 8	 , 13	 , -0.001, 
100	 , 55722	 , 0	 , 14	 , -0.07811, 
100	 , 56402	 , 5	 , 15	 , -0.0029, 
100	 , 54676	 , 5	 , 15	 , -0.00292, 
100	 , 53260	 , 3	 , 14	 , -9.4E-4, 
100	 , 52062	 , 7	 , 14	 , -0.01165, 
100	 , 51750	 , 2	 , 14	 , 0.0, 
100	 , 51334	 , 9	 , 13	 , -4.0E-4, 
100	 , 51756	 , 5	 , 14	 , -0.00567, 
100	 , 55328	 , 5	 , 15	 , -0.00205, 
100	 , 54226	 , 8	 , 14	 , -0.01437, 
100	 , 55446	 , 5	 , 15	 , -0.01037, 
100	 , 53694	 , 6	 , 14	 , -0.01942, 
100	 , 51594	 , 7	 , 14	 , -7.5E-4, 
100	 , 51950	 , 2	 , 14	 , -0.00304, 
100	 , 53740	 , 9	 , 14	 , -0.00132, 
100	 , 54310	 , 0	 , 15	 , -0.00791, 
100	 , 52642	 , 0	 , 14	 , -0.04688, 
